iter	Accuracy	MultiClass
100	0.3853902954	1.849824968
101	0.3857507032	1.846983447
102	0.3858034459	1.843096207
103	0.3860056259	1.839640437
104	0.3866297468	1.835738331
105	0.3872450774	1.832428475
106	0.3873066104	1.830263476
107	0.3875879044	1.827656333
108	0.3880010549	1.824555004
109	0.3881592827	1.821359092
110	0.3888009845	1.817950633
111	0.3888976793	1.815800588
112	0.388871308	1.812700874
113	0.3889416315	1.809922055
114	0.3893196203	1.807058493
115	0.3898558368	1.804549068
116	0.3903656821	1.801822428
117	0.3906557665	1.799892324
118	0.3909458509	1.797093289
119	0.3912535162	1.794590038
120	0.3914644866	1.792547177
121	0.3916490858	1.789899062
122	0.3919567511	1.787322905
123	0.3923962729	1.784626788
124	0.3927654712	1.781330613
125	0.3930731364	1.77847024
126	0.3933280591	1.776258586
127	0.3935126582	1.773824774
128	0.3937412096	1.771331959
129	0.3943301688	1.768470988
130	0.3945059775	1.76674454
131	0.3946290436	1.76473147
132	0.3951564698	1.762370838
133	0.3953322785	1.760779714
134	0.3952707454	1.759004817
135	0.3955520394	1.757191459
136	0.3957981716	1.755430723
137	0.396149789	1.752687753
138	0.3963959212	1.750604351
139	0.3964222925	1.748771142
140	0.396835443	1.746646706
141	0.3969233474	1.744800267
142	0.3969848805	1.743610846
143	0.3971958509	1.741668269
144	0.3974156118	1.739891928
145	0.3977320675	1.737882038
146	0.3982067511	1.735874385
147	0.3985319972	1.734096597
148	0.3989803094	1.732566846
149	0.3991209564	1.731072949
150	0.399314346	1.729586147
151	0.3994198312	1.728049069
152	0.3997626582	1.726446605
153	0.4002197609	1.724731113
154	0.4007032349	1.722745076
155	0.4010900141	1.720737745
156	0.4016965541	1.719126952
157	0.4021800281	1.717327521
158	0.4021712377	1.715641599
159	0.4024964838	1.713377592
160	0.4026898734	1.711883086
161	0.4029447961	1.710088938
162	0.4032964135	1.707986487
163	0.4034370605	1.707077327
164	0.4032612518	1.705869449
165	0.4036919831	1.704266066
166	0.4037271449	1.702965441
167	0.4040172293	1.70080026
168	0.4041490858	1.699408115
169	0.4043600563	1.698296699
170	0.4045798172	1.696852742
171	0.4050720816	1.695636603
172	0.4055467651	1.694167106
173	0.405766526	1.692882642
174	0.4060566104	1.691292641
175	0.4063379044	1.690052427
176	0.4064609705	1.688623845
177	0.406733474	1.68723087
178	0.4071114627	1.685813519
179	0.407278481	1.684612408
180	0.4074718706	1.683257589
181	0.4075949367	1.680990485
182	0.4080872011	1.679458109
183	0.408588256	1.678290465
184	0.4087992264	1.677180509
185	0.4092123769	1.675831579
186	0.4093266526	1.674427276
187	0.4098892405	1.672976428
188	0.410161744	1.671450269
189	0.4107419128	1.670137913
190	0.4108825598	1.668961543
191	0.4110056259	1.667357766
192	0.4114099859	1.666233895
193	0.4114539381	1.665125611
194	0.4116297468	1.663870257
195	0.411814346	1.662382679
196	0.4121132208	1.661039985
197	0.412157173	1.660041049
198	0.4124560478	1.658700362
199	0.41270218	1.65730286
200	0.413045007	1.656068887
201	0.4129571027	1.655297793
202	0.4131504923	1.654456692
203	0.4133614627	1.653437843
204	0.413387834	1.652177902
205	0.4137130802	1.650865664
206	0.4140295359	1.649862444
207	0.4141965541	1.648422899
208	0.414354782	1.647644148
209	0.4148294655	1.646470725
210	0.4148646273	1.64564371
211	0.4151986639	1.644596647
212	0.41532173	1.643255767
213	0.4156557665	1.642293244
214	0.4159370605	1.641751601
215	0.4160864979	1.640759458
216	0.4163853727	1.639840475
217	0.4165699719	1.638678337
218	0.4166842475	1.637658542
219	0.4168776371	1.636546269
220	0.4169655415	1.635412255
221	0.4171061885	1.634515049
222	0.4174050633	1.633333793
223	0.4176775668	1.632321956
224	0.4175896624	1.631423917
225	0.4177127286	1.630516764
226	0.417923699	1.629712788
227	0.4179940225	1.628574809
228	0.4181786217	1.627934104
229	0.4183632208	1.626937614
230	0.4186269339	1.625974144
231	0.4188291139	1.625163423
232	0.4193037975	1.624259511
233	0.4190752461	1.623376527
234	0.4191895218	1.622685596
235	0.4194092827	1.621839805
236	0.4196202532	1.62070972
237	0.4198839662	1.619557039
238	0.4203410689	1.618390231
239	0.4206575246	1.617330392
240	0.4208684951	1.61661432
241	0.4212640647	1.615839284
242	0.4216244726	1.614676116
243	0.4218530239	1.613661669
244	0.4219409283	1.612578731
245	0.4219936709	1.611647416
246	0.421914557	1.61074545
247	0.4222046414	1.609630705
248	0.4221606892	1.608468005
249	0.4223804501	1.607882573
250	0.422661744	1.607198428
251	0.4231803797	1.605967881
252	0.4232770745	1.604937869
253	0.4234528833	1.603911026
254	0.4239011955	1.603012428
255	0.4241033755	1.602083062
256	0.4240066807	1.601203813
257	0.4241297468	1.600530548
258	0.4242616034	1.599719052
259	0.4242352321	1.598933258
260	0.424516526	1.598284381
261	0.4247450774	1.597321581
262	0.4250791139	1.596280784
263	0.4251845992	1.595518344
264	0.42520218	1.594406322
265	0.4253867792	1.59367412
266	0.4255274262	1.593086452
267	0.4255977496	1.592228701
268	0.4258350914	1.591582801
269	0.4259142053	1.590905984
270	0.4263449367	1.589610244
271	0.4264767932	1.588764969
272	0.4270130098	1.587707564
273	0.4272415612	1.586875559
274	0.4274173699	1.586268065
275	0.4273909986	1.585678535
276	0.4277162447	1.584965486
277	0.4280678622	1.584013181
278	0.4284194796	1.583172876
279	0.428771097	1.582320603
280	0.4289293249	1.581748881
281	0.4290348101	1.581014451
282	0.4291578762	1.580473265
283	0.429333685	1.579925933
284	0.4295182841	1.579298217
285	0.4300984529	1.578369584
286	0.4304764416	1.577457461
287	0.4306170886	1.576230369
288	0.4308983826	1.575756976
289	0.4309247539	1.575173549
290	0.4309335443	1.574481484
291	0.4311620956	1.573729312
292	0.4314345992	1.572676989
293	0.4315664557	1.572082927
294	0.4316104079	1.571539187
295	0.4316719409	1.570978933
296	0.4316279887	1.570298847
297	0.4316543601	1.569635852
298	0.4318653305	1.568966879
299	0.4321729958	1.568379214
300	0.4324367089	1.567682529
301	0.4323927567	1.567199784
302	0.4325949367	1.566512582
303	0.4328498594	1.565604481
304	0.4332278481	1.56458635
305	0.4334124473	1.56369034
306	0.4338431786	1.563030191
307	0.4340453586	1.562530392
308	0.4340805204	1.561891067
309	0.43427391	1.561311956
310	0.43447609	1.560662179
311	0.4347837553	1.559862248
312	0.4349947257	1.559063173
313	0.4351177918	1.558658261
314	0.4353902954	1.558121253
315	0.4355221519	1.557073906
316	0.4358386076	1.556494459
317	0.4362253868	1.555566532
318	0.4364275668	1.554994071
319	0.4366033755	1.554502229
320	0.4365594233	1.553990448
321	0.4368407173	1.5535613
322	0.4369374121	1.552851763
323	0.4374736287	1.552026668
324	0.4375351617	1.551545946
325	0.4377988748	1.550835563
326	0.4378779887	1.550100135
327	0.4380362166	1.549556354
328	0.4379746835	1.549143131
329	0.438185654	1.548656261
330	0.438185654	1.547758385
331	0.4382911392	1.547085951
332	0.4383175105	1.546513469
333	0.4386339662	1.54559194
334	0.4388800985	1.544667847
335	0.4392317159	1.544013974
336	0.4393635724	1.543413321
337	0.4396888186	1.542637747
338	0.4397327707	1.542024321
339	0.4399613221	1.541181724
340	0.4402338256	1.540478738
341	0.4407085091	1.539895081
342	0.4409194796	1.539247454
343	0.4408579466	1.538854411
344	0.4409194796	1.538053276
345	0.441271097	1.537152618
346	0.4414293249	1.536355582
347	0.4417457806	1.53588089
348	0.4417897328	1.535188078
349	0.4419303797	1.534641798
350	0.4421589311	1.533994305
351	0.4425457103	1.533533421
352	0.4425896624	1.533174395
353	0.4429324895	1.532634128
354	0.4430467651	1.532187203
355	0.4433895921	1.531777769
356	0.4434950774	1.531139476
357	0.4436181435	1.530660644
358	0.4439697609	1.530097782
359	0.4441191983	1.529292167
360	0.4445411392	1.528677829
361	0.4449279184	1.528039323
362	0.4451828411	1.527646645
363	0.4451300985	1.527223397
364	0.4452443741	1.526770902
365	0.4454729255	1.526158686
366	0.4457366385	1.525627772
367	0.4459651899	1.525072216
368	0.4464398734	1.524342341
369	0.44657173	1.523651508
370	0.4469936709	1.523144098
371	0.4468969761	1.522608696
372	0.4469936709	1.5221261
373	0.44717827	1.521586423
374	0.4474771449	1.521104195
375	0.447661744	1.520775943
376	0.4477936006	1.520187005
377	0.4479606188	1.519690271
378	0.4483034459	1.519101978
379	0.4484792546	1.518522295
380	0.4486638537	1.518055912
381	0.4489187764	1.517585057
382	0.4492967651	1.517139298
383	0.4493934599	1.516577766
384	0.4494286217	1.516102639
385	0.449718706	1.51550302
386	0.4498417722	1.515004229
387	0.4499736287	1.514673438
388	0.4504131505	1.514074004
389	0.4503076653	1.513510375
390	0.450826301	1.51287589
391	0.450826301	1.512619715
392	0.4509493671	1.512263827
393	0.451169128	1.511664659
394	0.4514504219	1.51111271
395	0.4515646976	1.510652061
396	0.4518284107	1.510246871
397	0.4523118847	1.509808729
398	0.452338256	1.509425118
399	0.4525140647	1.508971569
400	0.4529008439	1.508430882
401	0.4528656821	1.508068768
402	0.4531469761	1.50768222
403	0.4533139944	1.50713604
404	0.45322609	1.506548772
405	0.4536304501	1.506137389
406	0.4538326301	1.505522599
407	0.4541578762	1.505102845
408	0.454333685	1.504696444
409	0.4544303797	1.504245926
410	0.4543688467	1.503723
411	0.4544391702	1.503244534
412	0.4545710267	1.502877197
413	0.4548523207	1.502358024
414	0.4552918425	1.501775192
415	0.4554324895	1.501315546
416	0.4553885373	1.500845514
417	0.4553885373	1.500395134
418	0.455766526	1.49985379
419	0.4558544304	1.499402311
420	0.4560390295	1.499078
421	0.4561445148	1.498552509
422	0.4563203235	1.498085998
423	0.4566543601	1.497604886
424	0.4569708158	1.497077903
425	0.457278481	1.496531381
426	0.4574015471	1.496000239
427	0.4573224332	1.495632191
428	0.4578850211	1.49509478
429	0.4581399437	1.494682564
430	0.4582630098	1.494324396
431	0.4583772855	1.493899759
432	0.4586058368	1.493557861
433	0.4587376934	1.493191216
434	0.4593178622	1.492706458
435	0.4593881857	1.492265809
436	0.4595200422	1.491817735
437	0.4595552039	1.491453848
438	0.4599771449	1.490934266
439	0.4602144866	1.490389522
440	0.4602320675	1.489994177
441	0.4608034459	1.489302547
442	0.4610319972	1.488954602
443	0.4610583685	1.488536633
444	0.4613748242	1.488157152
445	0.4612957103	1.487690336
446	0.4616385373	1.48718271
447	0.4617703938	1.486727709
448	0.461875879	1.486352286
449	0.4619286217	1.485922048
450	0.4620604782	1.485385066
451	0.4622626582	1.48495586
452	0.4625439522	1.484598842
453	0.4625879044	1.484099232
454	0.4628164557	1.483755944
455	0.4631504923	1.483136125
456	0.4634405767	1.482774315
457	0.4635548523	1.482321873
458	0.4636515471	1.482027099
459	0.4636779184	1.481625518
460	0.4636954993	1.481245972
461	0.4638625176	1.480943584
462	0.464214135	1.480460217
463	0.4643635724	1.48013536
464	0.4648558368	1.479659259
465	0.4647591421	1.479142624
466	0.4650668073	1.47885002
467	0.465383263	1.478419164
468	0.4654184248	1.478008664
469	0.4657612518	1.477629716
470	0.4658403657	1.477205844
471	0.4660425457	1.476945584
472	0.466350211	1.476414055
473	0.4666315049	1.476025075
474	0.4667809423	1.475728727
475	0.4668424754	1.475407747
476	0.4670094937	1.474974562
477	0.4670886076	1.47454494
478	0.4672995781	1.474195621
479	0.4675281294	1.473700294
480	0.4676687764	1.473356165
481	0.4678357947	1.472923541
482	0.4678270042	1.472682833
483	0.4679412799	1.472155253
484	0.4682137834	1.471695457
485	0.4683016878	1.471241294
486	0.4687236287	1.47067159
487	0.4688730661	1.470323853
488	0.4690049226	1.470008742
489	0.4694796062	1.469400864
490	0.4695235584	1.468915978
491	0.4697609001	1.46847915
492	0.4702180028	1.467804659
493	0.4704905063	1.467469066
494	0.4708157525	1.467028707
495	0.4710179325	1.466702673
496	0.4713255977	1.466305529
497	0.4716596343	1.465969604
498	0.4717299578	1.465657653
499	0.4718090717	1.465314458
500	0.4719409283	1.464670689
501	0.4720552039	1.464321701
502	0.4722398031	1.463966044
503	0.4727232771	1.463368373
504	0.4729869902	1.462876111
505	0.4732067511	1.46233855
506	0.4732331224	1.462000241
507	0.4734792546	1.461647711
508	0.4737078059	1.461115954
509	0.4738836146	1.460760174
510	0.4738132911	1.460499688
511	0.4741649086	1.459898506
512	0.4743055556	1.459458696
513	0.4744989451	1.459052653
514	0.4747538678	1.458648041
515	0.4749648383	1.458157999
516	0.4752637131	1.457722294
517	0.4751054852	1.457320071
518	0.4754131505	1.456971076
519	0.4757120253	1.456514193
520	0.4759142053	1.456138223
521	0.4760460619	1.455815279
522	0.4760372714	1.455647689
523	0.4762482419	1.455196549
524	0.4762394515	1.454868943
525	0.4764504219	1.45441166
526	0.4767317159	1.454024878
527	0.4769778481	1.453733417
528	0.4774701125	1.453302442
529	0.4775580169	1.452689845
530	0.4777689873	1.452200071
531	0.4779887482	1.451924314
532	0.4779711674	1.451484621
533	0.4783227848	1.451050732
534	0.47842827	1.450741658
535	0.4785952883	1.450404579
536	0.4790348101	1.449975394
537	0.4789908579	1.449662282
538	0.4790787623	1.449302553
539	0.4792369902	1.448958607
540	0.4793248945	1.448481225
541	0.4795007032	1.448225183
542	0.4797995781	1.447905321
543	0.4800281294	1.447483786
544	0.4801072433	1.447078997
545	0.4806610408	1.44654823
546	0.4806962025	1.446224328
547	0.4810214487	1.445815151
548	0.4811884669	1.445395455
549	0.4813115331	1.445014699
550	0.4817246835	1.444535514
551	0.4817422644	1.444281403
552	0.481874121	1.444026263
553	0.4821905767	1.443681393
554	0.4822521097	1.443332454
555	0.482278481	1.443062905
556	0.4826828411	1.442596687
557	0.4829289733	1.44223934
558	0.4831399437	1.441773287
559	0.4834739803	1.441277943
560	0.4836322082	1.440965012
561	0.4837640647	1.440586854
562	0.4838783404	1.440275627
563	0.4840805204	1.439986112
564	0.4841684248	1.439624779
565	0.484335443	1.439352308
566	0.4843793952	1.439126858
567	0.4846255274	1.438767632
568	0.4845464135	1.438507548
569	0.4849068214	1.438018748
570	0.4851090014	1.437618307
571	0.4852320675	1.437384269
572	0.4855924754	1.437030459
573	0.4856715893	1.436529086
574	0.485847398	1.436215926
575	0.486128692	1.435818658
576	0.4862957103	1.435571742
577	0.4864803094	1.435232963
578	0.4866385373	1.434885063
579	0.4866385373	1.434590869
580	0.486814346	1.434309955
581	0.4871835443	1.433984457
582	0.4873505626	1.433692468
583	0.4876758087	1.433203804
584	0.4880801688	1.432662065
585	0.4882999297	1.432289919
586	0.4886515471	1.43179784
587	0.4886163854	1.431514609
588	0.4891438115	1.431062246
589	0.489214135	1.430754627
590	0.4896712377	1.43017588
591	0.4898030942	1.429883991
592	0.4899085795	1.429658272
593	0.4901371308	1.429228495
594	0.4902777778	1.428807066
595	0.4904799578	1.428544416
596	0.4906030239	1.428176346
597	0.4906557665	1.427926541
598	0.4909985935	1.427611335
599	0.4912183544	1.427106929
600	0.4917018284	1.426616636
601	0.4920270745	1.426268778
602	0.4921940928	1.425916951
603	0.4922644163	1.425653335
604	0.4923699015	1.425338658
605	0.4926072433	1.424970673
606	0.4927478903	1.424573582
607	0.4930379747	1.42427202
608	0.4930731364	1.423976366
609	0.4932313643	1.423554637
610	0.4934950774	1.423095444
611	0.4936269339	1.422775171
612	0.4937236287	1.422489308
613	0.4942071027	1.422044251
614	0.4943565401	1.421712933
615	0.4947433193	1.421244603
616	0.4948751758	1.420885999
617	0.4952355837	1.420443889
618	0.4952707454	1.420172399
619	0.4956751055	1.419844799
620	0.4959212377	1.41953563
621	0.4960355134	1.419104314
622	0.4961937412	1.418751084
623	0.4963695499	1.418381152
624	0.4965277778	1.417895407
625	0.4965277778	1.417696331
626	0.4965981013	1.417270922
627	0.4967563291	1.417008197
628	0.4970200422	1.416696774
629	0.4974507736	1.416361109
630	0.4975298875	1.415947286
631	0.4976265823	1.415597564
632	0.4978111814	1.415320044
633	0.4979781997	1.414995402
634	0.4979781997	1.4146391
635	0.498488045	1.414257733
636	0.4985671589	1.414012547
637	0.498971519	1.41352173
638	0.4992440225	1.413085478
639	0.4992352321	1.412765696
640	0.4996132208	1.412366364
641	0.4998505626	1.411978312
642	0.4999208861	1.411748424
643	0.5002373418	1.411254528
644	0.5002637131	1.410831501
645	0.5003691983	1.410597176
646	0.5007647679	1.410207978
647	0.5007120253	1.409812142
648	0.5007120253	1.409592151
649	0.5011339662	1.409237276
650	0.5016174402	1.408885851
651	0.5017405063	1.408538213
652	0.5021009142	1.408118116
653	0.502399789	1.407728166
654	0.5025052743	1.407399456
655	0.5028129395	1.40705066
656	0.5029447961	1.406702549
657	0.5032172996	1.406318092
658	0.5032348805	1.406007459
659	0.5035601266	1.40563954
660	0.5037007736	1.405235604
661	0.5039205345	1.404923516
662	0.5042633615	1.404620103
663	0.5043161041	1.404282197
664	0.5043864276	1.404023649
665	0.5046149789	1.403593229
666	0.5047204641	1.403304298
667	0.5049665963	1.402859959
668	0.5052742616	1.402514672
669	0.5053973277	1.402300428
670	0.5055467651	1.402006165
671	0.5056434599	1.401683435
672	0.5056786217	1.401291705
673	0.5061708861	1.400814574
674	0.5062939522	1.400453435
675	0.5064433896	1.400011514
676	0.5068653305	1.399634368
677	0.5069180731	1.399399097
678	0.5072081575	1.399008818
679	0.5076388889	1.398647065
680	0.5076125176	1.398366334
681	0.5080080872	1.398027263
682	0.5081838959	1.397727254
683	0.5080432489	1.397514403
684	0.5083860759	1.397238119
685	0.5087201125	1.39696752
686	0.5087728551	1.396656022
687	0.5090101969	1.396299289
688	0.508992616	1.39608223
689	0.5088871308	1.395637614
690	0.5090277778	1.395358597
691	0.5093969761	1.394936045
692	0.509335443	1.394749075
693	0.5097398031	1.394570483
694	0.5099419831	1.394200571
695	0.5100298875	1.39389311
696	0.5103990858	1.393530169
697	0.5107067511	1.393093308
698	0.5108649789	1.392771391
699	0.5111023207	1.392489247
700	0.5112253868	1.392158325
701	0.5112253868	1.391845939
702	0.5114011955	1.391566522
703	0.5116385373	1.391228336
704	0.5118495077	1.390865856
705	0.5122011252	1.390451811
706	0.5123857243	1.390118845
707	0.5126054852	1.389838895
708	0.5129043601	1.389452367
709	0.5128516174	1.389099309
710	0.5130274262	1.388819462
711	0.5133087201	1.388368719
712	0.5135724332	1.38809312
713	0.5139416315	1.387723995
714	0.5141350211	1.387454813
715	0.5143723629	1.387138074
716	0.5144251055	1.386856276
717	0.5146009142	1.386564133
718	0.514556962	1.386264141
719	0.5148206751	1.385933318
720	0.5150843882	1.385599079
721	0.5152250352	1.385224081
722	0.5154272152	1.384952126
723	0.515585443	1.38451778
724	0.5158843179	1.384175124
725	0.5162974684	1.383883388
726	0.516350211	1.383575237
727	0.5165084388	1.383270035
728	0.516833685	1.382940609
729	0.5171589311	1.382491962
730	0.5173083685	1.382166451
731	0.5175984529	1.381640333
732	0.5178182138	1.381367076
733	0.5182225738	1.381016211
734	0.5183192686	1.380654538
735	0.5184774965	1.380270411
736	0.5187763713	1.379751905
737	0.5188379044	1.379531001
738	0.5193917018	1.379093385
739	0.5194620253	1.378796952
740	0.5196026723	1.378479548
741	0.5199279184	1.378151017
742	0.5202795359	1.377703478
743	0.5204465541	1.377383188
744	0.5206838959	1.377093647
745	0.5208333333	1.376883856
746	0.5209563994	1.376639221
747	0.5211322082	1.376303282
748	0.5211761603	1.376153333
749	0.5214398734	1.375866242
750	0.5215277778	1.375499861
751	0.5218266526	1.375168989
752	0.5222310127	1.374774567
753	0.5222046414	1.374487282
754	0.5220727848	1.374302791
755	0.5222398031	1.374006325
756	0.5222134318	1.37388047
757	0.5225386779	1.373522258
758	0.5227584388	1.373148168
759	0.5231627989	1.372760808
760	0.523285865	1.372444035
761	0.5235232068	1.372035542
762	0.5238220816	1.371733281
763	0.5239099859	1.371473929
764	0.5240154712	1.371209333
765	0.5240154712	1.370997232
766	0.5243495077	1.370623571
767	0.5242791842	1.370160454
768	0.5246395921	1.369839147
769	0.5247274965	1.369562655
770	0.5249472574	1.369336139
771	0.5252725035	1.368988917
772	0.5254307314	1.368697467
773	0.525545007	1.368512299
774	0.5256768636	1.368137087
775	0.5259581575	1.367777936
776	0.5262482419	1.367432561
777	0.5262921941	1.367152575
778	0.5264855837	1.36682534
779	0.5269602672	1.366414935
780	0.5271009142	1.36609853
781	0.5273909986	1.365691057
782	0.5277953586	1.365271691
783	0.5279535865	1.365003062
784	0.5282964135	1.36464308
785	0.5284985935	1.364316588
786	0.5287798875	1.364043109
787	0.5288326301	1.363696292
788	0.5290260197	1.363450285
789	0.529395218	1.363096721
790	0.5295710267	1.362858357
791	0.529597398	1.362563999
792	0.5298962729	1.362185918
793	0.529940225	1.361820455
794	0.5300896624	1.361518083
795	0.5302918425	1.361011492
796	0.5306082982	1.360721354
797	0.5308808017	1.360447235
798	0.5310214487	1.360123476
799	0.5312060478	1.359903445
800	0.5313291139	1.359600163
801	0.5316104079	1.359293061
802	0.5318301688	1.358929463
803	0.532216948	1.358594389
804	0.5322345288	1.358436432
805	0.5323663854	1.358220233
806	0.532761955	1.35786557
807	0.5327707454	1.35756055
808	0.5331575246	1.357218444
809	0.533245429	1.356952782
810	0.5332278481	1.356633933
811	0.5335179325	1.356269912
812	0.5336937412	1.356027143
813	0.5339662447	1.355804509
814	0.533992616	1.355527248
815	0.5342827004	1.355164589
816	0.5345200422	1.354802282
817	0.5346431083	1.354496381
818	0.5349859353	1.354191463
819	0.535100211	1.35393444
820	0.5352144866	1.353602546
821	0.5356803797	1.353303022
822	0.535785865	1.352967075
823	0.5357243319	1.352729007
824	0.5360935302	1.352333679
825	0.5363924051	1.352053161
826	0.5365682138	1.351658347
827	0.536954993	1.351338869
828	0.5371044304	1.351000252
829	0.5373154008	1.350627925
